lcl|NC_002620.2_gene_1	NC_010287.1_gene_1	80.64
lcl|NC_002620.2_gene_2	NC_010287.1_gene_2	81.94
lcl|NC_002620.2_gene_3	NC_010287.1_gene_3	85.35
lcl|NC_002620.2_gene_5	NC_010287.1_gene_5	100.00
lcl|NC_002620.2_gene_6	NC_010287.1_gene_6	82.75
lcl|NC_002620.2_gene_7	NC_010287.1_gene_7	81.24
lcl|NC_002620.2_gene_8	NC_010287.1_gene_8	78.94
lcl|NC_002620.2_gene_9	NC_010287.1_gene_9	79.14
lcl|NC_002620.2_gene_10	NC_010287.1_gene_10	80.32
lcl|NC_002620.2_gene_13	NC_010287.1_gene_12	81.81
lcl|NC_002620.2_gene_16	NC_010287.1_gene_15	76.42
lcl|NC_002620.2_gene_17	NC_010287.1_gene_16	74.02
lcl|NC_002620.2_gene_20	NC_010287.1_gene_19	85.63
lcl|NC_002620.2_gene_25	NC_010287.1_gene_24	82.86
lcl|NC_002620.2_gene_27	NC_010287.1_gene_26	100.00
lcl|NC_002620.2_gene_30	NC_010287.1_gene_29	82.84
lcl|NC_002620.2_gene_31	NC_010287.1_gene_30	90.30
lcl|NC_002620.2_gene_32	NC_010287.1_gene_31	82.50
lcl|NC_002620.2_gene_35	NC_010287.1_gene_34	88.56
lcl|NC_002620.2_gene_36	NC_010287.1_gene_35	80.50
lcl|NC_002620.2_gene_37	NC_010287.1_gene_36	87.84
lcl|NC_002620.2_gene_41	NC_010287.1_gene_40	85.40
lcl|NC_002620.2_gene_42	NC_010287.1_gene_41	89.74
lcl|NC_002620.2_gene_44	NC_010287.1_gene_43	84.25
lcl|NC_002620.2_gene_45	NC_010287.1_gene_44	82.12
lcl|NC_002620.2_gene_46	NC_010287.1_gene_45	82.74
lcl|NC_002620.2_gene_47	NC_010287.1_gene_46	100.00
lcl|NC_002620.2_gene_48	NC_010287.1_gene_47	79.48
lcl|NC_002620.2_gene_50	NC_010287.1_gene_49	98.63
lcl|NC_002620.2_gene_51	NC_010287.1_gene_50	100.00
lcl|NC_002620.2_gene_53	NC_010287.1_gene_52	84.17
lcl|NC_002620.2_gene_54	NC_010287.1_gene_53	84.47
lcl|NC_002620.2_gene_55	NC_010287.1_gene_54	84.61
lcl|NC_002620.2_gene_56	NC_010287.1_gene_55	100.00
lcl|NC_002620.2_gene_57	NC_010287.1_gene_56	79.81
lcl|NC_002620.2_gene_58	NC_010287.1_gene_57	81.35
lcl|NC_002620.2_gene_59	NC_010287.1_gene_58	84.21
lcl|NC_002620.2_gene_60	NC_010287.1_gene_59	83.56
lcl|NC_002620.2_gene_66	NC_010287.1_gene_65	79.94
lcl|NC_002620.2_gene_67	NC_010287.1_gene_66	84.44
lcl|NC_002620.2_gene_68	NC_010287.1_gene_67	80.81
lcl|NC_002620.2_gene_69	NC_010287.1_gene_68	80.70
lcl|NC_002620.2_gene_74	NC_010287.1_gene_73	82.76
lcl|NC_002620.2_gene_77	NC_010287.1_gene_75	83.14
lcl|NC_002620.2_gene_78	NC_010287.1_gene_76	83.34
lcl|NC_002620.2_gene_80	NC_010287.1_gene_78	84.00
lcl|NC_002620.2_gene_82	NC_010287.1_gene_80	86.12
lcl|NC_002620.2_gene_83	NC_010287.1_gene_81	87.91
lcl|NC_002620.2_gene_84	NC_010287.1_gene_82	83.68
lcl|NC_002620.2_gene_85	NC_010287.1_gene_83	100.00
lcl|NC_002620.2_gene_87	NC_010287.1_gene_84	85.65
lcl|NC_002620.2_gene_89	NC_010287.1_gene_86	83.44
lcl|NC_002620.2_gene_92	NC_010287.1_gene_89	82.34
lcl|NC_002620.2_gene_94	NC_010287.1_gene_92	79.30
lcl|NC_002620.2_gene_96	NC_010287.1_gene_94	81.18
lcl|NC_002620.2_gene_98	NC_010287.1_gene_96	79.94
lcl|NC_002620.2_gene_102	NC_010287.1_gene_100	83.80
lcl|NC_002620.2_gene_106	NC_010287.1_gene_104	81.47
lcl|NC_002620.2_gene_108	NC_010287.1_gene_106	83.27
lcl|NC_002620.2_gene_109	NC_010287.1_gene_107	78.22
lcl|NC_002620.2_gene_112	NC_010287.1_gene_110	79.88
lcl|NC_002620.2_gene_113	NC_010287.1_gene_111	89.19
lcl|NC_002620.2_gene_114	NC_010287.1_gene_112	80.93
lcl|NC_002620.2_gene_117	NC_010287.1_gene_115	81.92
lcl|NC_002620.2_gene_118	NC_010287.1_gene_116	82.60
lcl|NC_002620.2_gene_119	NC_010287.1_gene_117	100.00
lcl|NC_002620.2_gene_121	NC_010287.1_gene_131	98.45
lcl|NC_002620.2_gene_121	NC_010287.1_gene_118	98.45
lcl|NC_002620.2_gene_122	NC_010287.1_gene_119	97.88
lcl|NC_002620.2_gene_122	NC_010287.1_gene_132	97.84
lcl|NC_002620.2_gene_123	NC_010287.1_gene_133	97.39
lcl|NC_002620.2_gene_123	NC_010287.1_gene_120	97.39
lcl|NC_002620.2_gene_125	NC_010287.1_gene_121	82.14
lcl|NC_002620.2_gene_126	NC_010287.1_gene_122	87.83
lcl|NC_002620.2_gene_129	NC_010287.1_gene_125	76.21
lcl|NC_002620.2_gene_131	NC_010287.1_gene_127	82.34
lcl|NC_002620.2_gene_131	NC_010287.1_gene_128	100.00
lcl|NC_002620.2_gene_132	NC_010287.1_gene_128	80.46
lcl|NC_002620.2_gene_132	NC_010287.1_gene_127	100.00
lcl|NC_002620.2_gene_133	NC_010287.1_gene_129	81.95
lcl|NC_002620.2_gene_134	NC_010287.1_gene_130	81.81
lcl|NC_002620.2_gene_136	NC_010287.1_gene_131	98.45
