lcl|NC_000117.1_gene_1	NC_010287.1_gene_270	97.86
lcl|NC_000117.1_gene_2	NC_010287.1_gene_271	98.90
lcl|NC_000117.1_gene_3	NC_010287.1_gene_272	100.00
lcl|NC_000117.1_gene_4	NC_010287.1_gene_273	99.80
lcl|NC_000117.1_gene_5	NC_010287.1_gene_274	99.86
lcl|NC_000117.1_gene_6	NC_010287.1_gene_275	99.36
lcl|NC_000117.1_gene_7	NC_010287.1_gene_276	99.82
lcl|NC_000117.1_gene_8	NC_010287.1_gene_277	99.37
lcl|NC_000117.1_gene_9	NC_010287.1_gene_278	99.56
lcl|NC_000117.1_gene_10	NC_010287.1_gene_279	100.00
lcl|NC_000117.1_gene_11	NC_010287.1_gene_280	99.85
lcl|NC_000117.1_gene_12	NC_010287.1_gene_281	99.68
lcl|NC_000117.1_gene_13	NC_010287.1_gene_282	99.75
lcl|NC_000117.1_gene_14	NC_010287.1_gene_283	99.33
lcl|NC_000117.1_gene_15	NC_010287.1_gene_284	99.53
lcl|NC_000117.1_gene_16	NC_010287.1_gene_285	99.39
lcl|NC_000117.1_gene_17	NC_010287.1_gene_286	99.04
lcl|NC_000117.1_gene_18	NC_010287.1_gene_287	99.08
lcl|NC_000117.1_gene_19	NC_010287.1_gene_288	98.10
lcl|NC_000117.1_gene_21	NC_010287.1_gene_289	99.55
lcl|NC_000117.1_gene_22	NC_010287.1_gene_290	99.47
lcl|NC_000117.1_gene_23	NC_010287.1_gene_291	99.33
lcl|NC_000117.1_gene_24	NC_010287.1_gene_292	99.39
lcl|NC_000117.1_gene_25	NC_010287.1_gene_293	99.72
lcl|NC_000117.1_gene_26	NC_010287.1_gene_294	99.77
lcl|NC_000117.1_gene_27	NC_010287.1_gene_295	99.48
lcl|NC_000117.1_gene_28	NC_010287.1_gene_296	100.00
lcl|NC_000117.1_gene_29	NC_010287.1_gene_297	99.24
lcl|NC_000117.1_gene_30	NC_010287.1_gene_298	99.45
lcl|NC_000117.1_gene_31	NC_010287.1_gene_299	99.69
lcl|NC_000117.1_gene_32	NC_010287.1_gene_300	99.84
lcl|NC_000117.1_gene_33	NC_010287.1_gene_301	99.67
lcl|NC_000117.1_gene_34	NC_010287.1_gene_302	99.52
lcl|NC_000117.1_gene_35	NC_010287.1_gene_303	99.64
lcl|NC_000117.1_gene_36	NC_010287.1_gene_304	99.49
lcl|NC_000117.1_gene_37	NC_010287.1_gene_305	99.22
lcl|NC_000117.1_gene_37	NC_010287.1_gene_306	100.00
