lcl|NC_002620.2_gene_1	NC_000922.1_gene_751	68.80	2e-78	798
lcl|NC_002620.2_gene_1	NC_000922.1_gene_1014	84.62	0.90	26
lcl|NC_002620.2_gene_1	NC_000922.1_gene_481	100.00	0.90	16
lcl|NC_002620.2_gene_1	NC_000922.1_gene_273	94.74	0.90	19
lcl|NC_002620.2_gene_1	NC_000922.1_gene_200	91.30	0.90	23
lcl|NC_002620.2_gene_1	NC_000922.1_gene_789	90.00	3.1	20
lcl|NC_002620.2_gene_1	NC_000922.1_gene_757	100.00	3.1	15
lcl|NC_002620.2_gene_1	NC_000922.1_gene_457	80.00	3.1	30
lcl|NC_002620.2_gene_1	NC_000922.1_gene_441	100.00	3.1	15
lcl|NC_002620.2_gene_1	NC_000922.1_gene_356	90.00	3.1	20
lcl|NC_002620.2_gene_1	NC_000922.1_gene_190	100.00	3.1	15
lcl|NC_002620.2_gene_1	NC_000922.1_gene_43	100.00	3.1	15
lcl|NC_002620.2_gene_2	NC_000922.1_gene_750	68.11	1e-107	1135
lcl|NC_002620.2_gene_2	NC_000922.1_gene_392	92.86	0.030	28
lcl|NC_002620.2_gene_2	NC_000922.1_gene_708	85.71	0.10	28
lcl|NC_002620.2_gene_2	NC_000922.1_gene_912	90.91	0.36	22
lcl|NC_002620.2_gene_2	NC_000922.1_gene_513	90.91	0.36	22
lcl|NC_002620.2_gene_2	NC_000922.1_gene_340	100.00	0.36	17
lcl|NC_002620.2_gene_2	NC_000922.1_gene_57	90.91	0.36	22
lcl|NC_002620.2_gene_2	NC_000922.1_gene_1020	100.00	1.3	16
lcl|NC_002620.2_gene_2	NC_000922.1_gene_992	90.48	1.3	21
lcl|NC_002620.2_gene_2	NC_000922.1_gene_817	100.00	1.3	16
lcl|NC_002620.2_gene_2	NC_000922.1_gene_423	94.74	1.3	19
lcl|NC_002620.2_gene_2	NC_000922.1_gene_93	83.87	1.3	31
lcl|NC_002620.2_gene_2	NC_000922.1_gene_90	100.00	1.3	16
lcl|NC_002620.2_gene_2	NC_000922.1_gene_1037	100.00	4.4	15
lcl|NC_002620.2_gene_2	NC_000922.1_gene_1021	100.00	4.4	15
lcl|NC_002620.2_gene_2	NC_000922.1_gene_855	94.44	4.4	18
lcl|NC_002620.2_gene_2	NC_000922.1_gene_800	100.00	4.4	15
lcl|NC_002620.2_gene_2	NC_000922.1_gene_668	100.00	4.4	15
lcl|NC_002620.2_gene_2	NC_000922.1_gene_557	100.00	4.4	15
lcl|NC_002620.2_gene_2	NC_000922.1_gene_531	100.00	4.4	15
lcl|NC_002620.2_gene_2	NC_000922.1_gene_432	94.44	4.4	18
lcl|NC_002620.2_gene_2	NC_000922.1_gene_427	90.00	4.4	20
lcl|NC_002620.2_gene_2	NC_000922.1_gene_420	100.00	4.4	15
lcl|NC_002620.2_gene_2	NC_000922.1_gene_181	94.44	4.4	18
lcl|NC_002620.2_gene_2	NC_000922.1_gene_178	90.00	4.4	20
