		NCBI 								Transposon mutants									In vitro screening		In vivo screening		UniProt							Pubmed											String 		Pubmed	effectors.org			Phobius	RCSB PDB	Pubmed		ODB/DOOR/Pubmed
D/UW-3/CX Ortholog	Locus tag	Strain Name	Taxid	Gene Symbol	Start	Stop	Strand	Entrez GeneID	Length (bases)	Strain name	Date generated	Generated by	PCR sequenced	S. blot	Initial phenotype	KU storage	UW storage	Genome seq	tbd	tbd	tbd	tbd	RefSeq ProteinID	Length (aa)	UniProt ID	Gene Product	Cellular Component (GO)	Molecular Function (GO)	Biological Process (GO)	EB protein expression	<< EB protein expression (PMID)	Chemical mutants (# non-syn and non-neutral)	<< Chemical mutants (PMID)	Chemical mutants	<< Chemical mutants (PMID)	Temp-sens mutants	<< Temp-sens mutants (PMID)	RB expression timing (Early/Mid/Late)	<< RB expression timing (PMID)	Regulatory factors (GeneID/PMID)	String ID 	Known Chlamydia interaction partners (Entrez Gene ID, PMID)	Known host interaction partners (PMID)	T3 secreted (Y/N)	T3 score	Eukaryotic domains (PMID?)	Topology predictions 	3d Structure (PDB ID)	Antibody (PMID)	GFP fusions (PMID)	Operon 
CT001	CTL0256	L2/434/BU	471472	-	323566	323838	-	5857946		L2-KU-001	4/1/2016	Joe Smith	4/12/2016		slow growth	-80 #1 Box 4		planned					YP_001654340.1	90	O84004	hypothetical protein CTL0256						3	25920978					Late	12730178		272561.CT001.			N	0	0	Cytoplasmic*				
CT002	CTL0257	L2/434/BU	471472	gatC	324039	324341	+	5858620															YP_001654341.1	100	O84005	aspartyl/glutamyl-tRNA amidotransferase subunit C						2	25920978					Constitutive	12730178		272561.CT002.	gatA, gatB	none	N	0	0	Non-Cytoplasmic				
CT003	CTL0258	L2/434/BU	471472	gatA	324353	325828	+	5858470															YP_001654342.1	491	O84006	aspartyl/glutamyl-tRNA amidotransferase subunit A						3	25920978					Constitutive	12730178		272561.CT003.	gatB, gatC	none	N	0	Amidase	Non-Cytoplasmic				
CT004	CTL0259	L2/434/BU	471472	gatB	325830	327296	+	5858207															YP_001654343.1	488	O84007	aspartyl/glutamyl-tRNA amidotransferase subunit B						1	25920978					Constitutive	12730178		272561.CT004.	gatA, gatC	none	N	0	0	Non-Cytoplasmic				
CT005	CTL0260	L2/434/BU	471472	-	327395	328486	-	5858200															YP_001654344.1	363	O84008	hypothetical protein CTL0260						3	25920978					Late	12730178		272561.CT005.	none	none	Y	1	0	Cytoplasmic*				
CT006	CTL0261	L2/434/BU	471472	-	328614	329183	-	5858154															YP_001654345.1	189	O84009	hypothetical protein CTL0261						3	25920978					Constitutive	12730178		272561.CT006.	none	none	N	0	0	*				
CT007	CTL0262	L2/434/BU	471472	-	329497	330447	+	5858743															YP_001654346.1	316	O84010	hypothetical protein CTL0262						3	25920978					Constitutive	12730178		none	none	none	N	0	0	Non-Cytoplasmic				
CT008	CTL0263	L2/434/BU	471472	rnhC	330463	331365	-	5858307															YP_001654347.1	300	O84011	ribonuclease HIII						1	25920978					Constitutive	12730178		272561.CT008.	rnhB	none	N*	0.986	100*	Non-Cytoplasmic				
CT009	CTL0264	L2/434/BU	471472	-	331621	332052	+	5858713															YP_001654348.1	143	O84012	hypothetical protein CTL0264						0	25920978					Constitutive	12730178		272561.CT009.	mreB	none	N	0	0	Non-Cytoplasmic				
CT010	CTL0265	L2/434/BU	471472	htrB	332039	333406	-	5858214															YP_001654349.1	455	O84013	lipid A biosynthesis lauroyl acyltransferase						1	25920978					Constitutive	12730178		272561.CT010.	waaA, lpxK	none	N	0	0	Cytoplasmic*				
CT011	CTL0266	L2/434/BU	471472	-	333538	334794	-	5858081															YP_001654350.1	418	O84014	hypothetical protein CTL0266						3	25920978					ND	12730178		272561.CT011.	ybbP	none	N	0	0	Non-Cytoplasmic	No			
CT012	CTL0267	L2/434/BU	471472	-	334791	335585	-	5858762															YP_001654351.1	264	O84015	integral membrane protein						0	25920978					Constitutive	12730178		272561.CT012.	CT011	none	N	0	0	Cytoplasmic*	No			
CT013	CTL0268	L2/434/BU	471472	cydA	335860	337200	+	5858138															YP_001654352.1	446	O84016	cytochrome d ubiquinol oxidase subunit I						2	25920978	subst	KH unpub			Mid_Late	12730178		272561.CT013.	cydB, sdhB	none	N	0	0	Cytoplasmic*	Yes			
CT014	CTL0269	L2/434/BU	471472	cydB	337212	338273	+	5858683															YP_001654353.1	353	O84017	cytochrome d ubiquinol oxidase subunit II						2	25920978					Mid_Late	12730178		272561.CT014.	cydA, sdhB	none	N	0	0	Cytoplasmic*	Yes			
CT015	CTL0270	L2/434/BU	471472	phoH	338371	339675	-	5858202															YP_001654354.1	434	O84018	hypothetical protein CTL0270						2	25920978					Constitutive	12730178		272561.CT015.	none	none	N	0	0	Non-Cytoplasmic	Yes			
CT016	CTL0271	L2/434/BU	471472	-	339884	340612	+	5858104															YP_001654355.1	242	O84019	hypothetical protein CTL0271						2	25920978					Late	12730178		272561.CT016.	none	none	N	0	0	Non-Cytoplasmic	No			
CT017	CTL0272	L2/434/BU	471472	-	340798	342099	+	5858213															YP_001654356.1	433	O84020	hypothetical protein CTL0272						3	25920978					Late	12730178		272561.CT017.	none	none	N	0	0	Non-Cytoplasmic	No			
CT018	CTL0273	L2/434/BU	471472	-	342161	342634	-	5858573															YP_001654357.1	157	O84021	hypothetical protein CTL0273						2	25920978					Constitutive	12730178		272561.CT018.	none	none	N	0.999	0	Cytoplasmic*	No			
CT019	CTL0274	L2/434/BU	471472	ileS	343680	346790	+	5858570															YP_001654358.1	1036	O84022	isoleucyl-tRNA synthetase						4	25920978					Constitutive	12730178		272561.CT019.	pheT, argS, gltX, lysS. leuS, metG, proS, glyQS, thrS, pheS	none	N	0	tRNA syhtnase, anticodon	Non-Cytoplasmic	Yes			
CT020	CTL0275	L2/434/BU	471472	lepB	346848	348734	-	5858143															YP_001654359.1	628	O84023	signal peptidase I						4	25920978					Constitutive	12730178		272561.CT020.	ffh, ftsY, rpsO, secD/secF	none	N	0.939	Peptidase	Non-Cytoplasmic	Yes			
CT021	CTL0276	L2/434/BU	471472	-	348920	349663	-	5858781															YP_001654360.1	247	O84024	hypothetical protein CTL0276						2	25920978					Constitutive	12730178		272561.CT021.	none	none	N	0	0	Non-Cytoplasmic	No			
CT022	CTL0277	L2/434/BU	471472	rpmE2	349739	350065	+	5858581															YP_001654361.1	108	O84025	50S ribosomal protein L31						1	25920978					Constitutive	12730178		272561.CT022.	rplS, rpmB, rplM, rpmA, rplQ, rplU, rplY, rplC, rplD, rplR	none	N	0	0	Cytoplasmic	Yes			
CT023	CTL0278	L2/434/BU	471472	prfA	350253	351332	+	5858457															YP_001654362.1	359	O84026	peptide chain release factor 1						1	25920978					Constitutive	12730178		272561.CT023.	prmC, rpsP, rpsI, rs2, trmD	none	N	0	PCRF	Non-cytoplasmic	Yes			
CT024	CTL0279	L2/434/BU	471472	-	351316	352188	+	5858726															YP_001654363.1	290	O84027	N5-glutamine S-adenosyl-L-methionine-dependent methyltransferase						2	25920978					Constitutive	12730178		272561.CT024.	prfA, rsmA, ribD	none	N	0	MTS, PrmA	Non-Cytoplasmic	Yes			
CT025	CTL0280	L2/434/BU	471472	ffh	352185	353531	+	5858426															YP_001654364.1	448	O84028	signal recognition particle subunit FFH						1	25920978					Constitutive	12730178		272561.CT025.	ftsY, rplS, rplB, rplE, rplF, rplC, rplP, rplN, rplD, rplR		N	0.998	CbiA, Zeta toxin	Non-Cytoplasmic	Yes			
CT026	CTL0281	L2/434/BU	471472	rpsP	353522	353872	+	5858789															YP_001654365.1	116	O84029	30S ribosomal protein S16						1	25920978					Constitutive	12730178		272561.CT026.	rpsR, rpsS, rpsJ, rpsD, rpsM, rpsL, rpsK, rpsG, rpsH, rpsE		N	0	0	Cytoplasmic	Yes			
CT027	CTL0282	L2/434/BU	471472	trmD	353888	354946	+	5858001															YP_001654366.1	352	O84030	tRNA (guanine-N(1)-)-methyltransferase/hypothetical protein						1	25920978					Constitutive	12730178		272561.CT027.	rplS, rpsP, ffh	none	N	0	MTS	Non-Cytoplasmic	Yes			
CT028	CTL0283	L2/434/BU	471472	rplS	354972	355337	+	5858420															YP_001654367.1	121	O84031	50S ribosomal protein L19						1	25920978					Constitutive	12730178		272561.CT028.	rplT, rpmA, rplM, rplD, rplC, rplP, rplF, rplK, rplB, rplA	none	N	0	0	Non-Cytoplasmic	Yes			
CT029	CTL0284	L2/434/BU	471472	rnhB	355401	356054	+	5858544															YP_001654368.1	217	O84032	ribonuclease HII						3	25920978					Constitutive	12730178		272561.CT029.	dnaN	none	N	0	ribonuclease	Non-Cytoplasmic	Yes			
