Entry	Gene names  (ordered locus )	Gene names  (primary )	Protein names	Organism	Cross-reference (RefSeq)	Cross-reference (EMBL)	EnsemblBacteria transcript
Q1DCI1	MXAN_1385	glmU	Bifunctional protein GlmU [Includes: UDP-N-acetylglucosamine pyrophosphorylase (EC 2.7.7.23) (N-acetylglucosamine-1-phosphate uridyltransferase); Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)]	Myxococcus xanthus (strain DK 1622)	WP_011551502.1;	CP000113;	ABF89222;
Q1D4A1	MXAN_4349	nnrD	Bifunctional NAD(P)H-hydrate repair enzyme (Nicotinamide nucleotide repair protein) [Includes: ADP-dependent (S)-NAD(P)H-hydrate dehydratase (EC 4.2.1.136) (ADP-dependent NAD(P)HX dehydratase); NAD(P)H-hydrate epimerase (EC 5.1.99.6)]	Myxococcus xanthus (strain DK 1622)	WP_011554350.1;	CP000113;	ABF90158;
Q1DB00	MXAN_1929	masK	Tyrosine-protein kinase MasK (EC 2.7.10.2)	Myxococcus xanthus (strain DK 1622)	WP_011552028.1;	AF377950;CP000113;	ABF90801;
Q1DDB7	MXAN_1096	pyrG	CTP synthase (EC 6.3.4.2) (Cytidine 5'-triphosphate synthase) (Cytidine triphosphate synthetase) (CTP synthetase) (CTPS) (UTP--ammonia ligase)	Myxococcus xanthus (strain DK 1622)	WP_011551216.1;	CP000113;	ABF89807;
Q1D0S5	MXAN_5609	murE	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13) (Meso-A2pm-adding enzyme) (Meso-diaminopimelate-adding enzyme) (UDP-MurNAc-L-Ala-D-Glu:meso-diaminopimelate ligase) (UDP-MurNAc-tripeptide synthetase) (UDP-N-acetylmuramyl-tripeptide synthetase)	Myxococcus xanthus (strain DK 1622)	WP_011555563.1;	CP000113;	ABF90966;
Q1D6I6	MXAN_3544	rlmN2	Dual-specificity RNA methyltransferase RlmN 2 (EC 2.1.1.192) (23S rRNA (adenine(2503)-C(2))-methyltransferase 2) (23S rRNA m2A2503 methyltransferase 2) (Ribosomal RNA large subunit methyltransferase N 2) (tRNA (adenine(37)-C(2))-methyltransferase 2) (tRNA m2A37 methyltransferase 2)	Myxococcus xanthus (strain DK 1622)	WP_011553573.1;	CP000113;	ABF86078;
Q1DCU1	MXAN_1275	rlmN1	Dual-specificity RNA methyltransferase RlmN 1 (EC 2.1.1.192) (23S rRNA (adenine(2503)-C(2))-methyltransferase 1) (23S rRNA m2A2503 methyltransferase 1) (Ribosomal RNA large subunit methyltransferase N 1) (tRNA (adenine(37)-C(2))-methyltransferase 1) (tRNA m2A37 methyltransferase 1)	Myxococcus xanthus (strain DK 1622)	WP_011551392.1;	CP000113;	ABF89388;
Q1CW50	MXAN_7260	cas4-cas1	CRISPR-associated exonuclease Cas4/endonuclease Cas1 fusion (EC 3.1.-.-) (EC 3.1.12.1)	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF90454;
Q1D406	MXAN_4446	lexA	LexA repressor (EC 3.4.21.88)	Myxococcus xanthus (strain DK 1622)	WP_011554445.1;	CP000113;	ABF92162;
Q1D9V4	MXAN_2349	purL	Phosphoribosylformylglycinamidine synthase (FGAM synthase) (FGAMS) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase) (FGAR amidotransferase) (FGAR-AT)	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF92728;
