Query	Best Match(es)
CTL0317	{'TC_RS01670': 83.58}
TC_RS01415	{'CTL0267': 84.28}
CTL0726	{'TC_RS03805': 86.06}
TC_RS03575	{'CTL0682': 77.1}
CTL0339	{'TC_RS01790': 76.89}
CTL0631	{'TC_RS03325': 87.86}
CTL_t35	{'TC_RS02085': 100.0}
CTL0044	{'TC_RS00240': 79.37}
TC_RS02755	{'CTL0523': 87.85}
TC_RS03330	{'CTL0633': 80.37}
TC_RS02975	{'CTL0566': 87.07}
CTL0209	{'TC_RS01135': 80.68}
TC_RS01375	{'CTL0259': 85.56}
TC_RS01100	{'CTL0203': 79.4}
TC_RS01035	{'CTL0190': 79.71}
TC_RS00250	{'CTL_t20': 98.63}
TC_RS03090	{'CTL0586': 83.22}
CTL0348	{'TC_RS01835': 76.34}
CTL0049	{'TC_RS00275': 84.48}
CTL0797	{'TC_RS04175': 84.55}
TC_RS00800	{'CTL0140': 90.73}
CTL0492	{'TC_RS02595': 79.8}
CTL0329	{'TC_RS01740': 85.67}
TC_RS04580	{'CTL0876': 74.84}
CTL0343	{'TC_RS01810': 80.05}
CTL0505	{'TC_RS02660': 85.45}
TC_RS03540	{'CTL0674': 82.31}
TC_RS03305	{'CTL0627': 85.71}
CTL0890	{'TC_RS04655': 88.25}
TC_RS00810	{'CTL0142': 78.67}
TC_RS03985	{'CTL0760': 81.66}
TC_RS01390	{'CTL0262': 81.18}
TC_RS00885	{'CTL0158': 85.22}
TC_RS01405	{'CTL0265': 80.05}
CTL0657	{'TC_RS03450': 81.48}
CTL0790	{'TC_RS04140': 92.19}
TC_RS01715	{'CTL0324': 85.13}
TC_RS02040	{'CTL0389': 72.02}
TC_RS03940	{'CTL0751': 78.66}
TC_RS02480	{'CTL0471': 77.56}
TC_RS04280	{'CTL0817': 79.71}
CTL0892	{'TC_RS04665': 76.91}
CTL0003	{'TC_RS00015': 85.06}
TC_RS00270	{'CTL0048': 84.33}
CTL0621	{'TC_RS03275': 74.02}
TC_RS04220	{'CTL0805': 81.43}
CTL_r05	{'TC_RS00685': 97.39, 'TC_RS00610': 97.39}
CTL0181	{'TC_RS04765': 93.89}
TC_RS04510	{'CTL0863': 87.83}
TC_RS00910	{'CTL0164': 70.93}
CTL0275	{'TC_RS01455': 81.35}
CTL0136	{'TC_RS00780': 80.46}
TC_RS03450	{'CTL0657': 81.48}
CTL0246	{'TC_RS01305': 67.33}
CTL0473	{'TC_RS02490': 84.84}
CTL0204	{'TC_RS01105': 80.7}
CTL0749	{'TC_RS03930': 78.76}
TC_RS03285	{'CTL0623': 75.2}
CTL0053	{'TC_RS00300': 83.4}
CTL0841	{'TC_RS04400': 81.8}
TC_RS00255	{'CTL_t10': 100.0}
TC_RS03705	{'CTL0707': 81.29}
CTL0199	{'TC_RS01080': 84.1}
CTL0235	{'TC_RS01260': 74.85}
CTL0809	{'TC_RS04245': 82.65}
TC_RS01575	{'CTL0300': 86.05}
TC_RS04575	{'CTL0875': 80.96}
CTL0210	{'TC_RS01140': 82.02}
CTL0430	{'TC_RS02245': 76.79}
TC_RS03240	{'CTL0614': 72.33}
TC_RS04630	{'CTL0885': 74.09}
TC_RS01680	{'CTL0319': 82.3}
CTL0533	{'TC_RS02805': 85.58}
CTL0867	{'TC_RS04535': 73.98}
TC_RS00485	{'CTL0088': 79.62}
CTL0508	{'TC_RS02675': 82.02}
TC_RS00475	{'CTL0086': 81.09}
TC_RS03975	{'CTL_t30': 98.88}
CTL0177	{'TC_RS00985': 85.32}
TC_RS01585	{'CTL0302': 77.66}
CTL0538	{'TC_RS02830': 85.22}
CTL0088	{'TC_RS00485': 79.62}
CTL0036	{'TC_RS00195': 82.18}
CTL0687	{'TC_RS03600': 74.71}
TC_RS04465	{'CTL0854': 83.38}
TC_RS01125	{'CTL0208': 86.1}
TC_RS02640	{'CTL0500A': 69.51}
CTL0404	{'TC_RS02125': 75.87}
CTL0133	{'TC_RS00765': 74.35}
CTL0086	{'TC_RS00475': 81.09}
CTL0663	{'TC_RS03480': 89.32}
TC_RS03185	{'CTL0604': 79.06}
TC_RS01915	{'CTL0364': 79.04}
CTL0109	{'TC_RS00620': 81.87}
CTL0576	{'TC_RS03035': 77.22}
TC_RS01250	{'CTL0233': 78.9}
CTL0071	{'TC_RS00395': 82.58}
CTL0318	{'TC_RS01675': 81.84}
CTL0893	{'TC_RS04670': 83.14}
CTL0855	{'TC_RS04470': 83.85}
CTL0689	{'TC_RS03610': 80.03}
TC_RS02805	{'CTL0533': 85.58}
CTL0034	{'TC_RS00185': 87.84}
TC_RS04495	{'CTL0861': 82.31}
CTL0011	{'TC_RS00065': 81.52}
TC_RS00555	{'CTL0102': 79.67}
CTL0367	{'TC_RS01930': 79.58}
TC_RS01355	{'CTL0255': 65.42}
CTL0510	{'TC_RS02685': 79.14}
CTL0763	{'TC_RS04000': 83.25}
TC_RS00880	{'CTL0156': 76.59}
TC_RS00695	{'CTL0120': 82.17}
CTL0848	{'TC_RS04435': 83.93}
TC_RS01205	{'CTL0223': 73.73}
TC_RS03430	{'CTL0652': 88.2}
CTL0286	{'TC_RS01510': 83.5}
CTL0572	{'TC_RS03005': 90.68}
TC_RS01845	{'CTL0350': 87.63}
CTL_t18	{'TC_RS03840': 100.0}
CTL0126	{'TC_RS00730': 77.03}
TC_RS02440	{'CTL0465': 78.09}
TC_RS01340	{'CTL0251': 75.72}
TC_RS04065	{'CTL0775': 93.55}
TC_RS01785	{'CTL0338A': 81.02}
TC_RS02430	{'CTL0463': 79.41}
CTL0740	{'TC_RS03885': 82.67}
CTL0186	{'TC_RS01015': 79.06}
TC_RS03100	{'CTL0588': 79.67}
CTL0301	{'TC_RS01580': 83.73}
TC_RS00520	{'CTL0095': 81.84}
CTL0438	{'TC_RS02295': 81.84}
CTL0844	{'TC_RS04415': 82.7}
TC_RS03120	{'CTL0592': 79.09}
CTL0062	{'TC_RS00345': 80.45}
CTL0751	{'TC_RS03940': 78.66}
CTL0459	{'TC_RS02400': 80.95}
TC_RS02870	{'CTL0546': 84.79}
TC_RS03475	{'CTL0662': 82.36}
TC_RS04600	{'CTL0880': 81.33}
CTL0439	{'TC_RS02300': 77.18}
CTL0628	{'TC_RS03310': 80.57}
TC_RS03960	{'CTL0755': 77.49}
CTL0550	{'TC_RS02890': 82.2}
TC_RS00150	{'CTL0027': 82.32}
TC_RS02890	{'CTL0550': 82.2}
TC_RS00785	{'CTL0137': 80.59}
TC_RS04265	{'CTL0813': 78.55}
TC_RS00960	{'CTL0173': 75.0}
CTL0746	{'TC_RS03915': 77.83}
CTL0691	{'TC_RS03620': 84.67}
CTL0670	{'TC_RS03515': 75.14}
TC_RS00605	{'CTL_r03': 97.84}
CTL0123	{'TC_RS00710': 81.65}
TC_RS01580	{'CTL0301': 83.73}
TC_RS02355	{'CTL0450': 78.54}
TC_RS02685	{'CTL0510': 79.14}
CTL0019	{'TC_RS00105': 76.52}
TC_RS00325	{'CTL0058': 78.86}
TC_RS00145	{'CTL0026': 70.95}
TC_RS03880	{'CTL0739': 79.82}
TC_RS01640	{'CTL0312': 79.37}
CTL0406	{'TC_RS02140': 80.62}
TC_RS03480	{'CTL0663': 89.32}
CTL0825	{'TC_RS04840': 80.13}
CTL0540	{'TC_RS02840': 69.5}
TC_RS03805	{'CTL0726': 86.06}
TC_RS02930	{'CTL0557': 82.6}
TC_RS04765	{'CTL0181': 93.89}
