muridarum	pneumoniae	trachomatis_434	trachomatis_duw
['TC_RS02960']	['CPn0085']	['CTL0563']	['CT_311']
['TC_RS02885']	['CPn0054']	['CTL0549']	['CT_297']
['TC_RS01860']	['CPn0315']	['CTL0353']	['CT_098']
['TC_RS04470']	['CPn0789']	['CTL0855']	['CT_592']
['TC_RS00505']	['CPn0864']	['CTL0092']	['CT_723']
['TC_RS03870']	['CPn0595']	['CTL0737']	['CT_476']
['TC_RS00625']	['CPn0884']	['CTL0110']	['CT_741']
['TC_RS01890']	['CPn0406']	['CTL0359']	['CT_104']
['TC_RS03680']	['CPn0557']	['CTL0702']	['CT_443']
['TC_RS01730']	['CPn0345']	['CTL0327']	['CT_071']
['TC_RS03450']	['CPn0527']	['CTL0657']	['CT_400']
['TC_RS03385']	['CPn0490']	['CTL0643']	['CT_387']
['TC_RS04480']	['CPn0787']	['CTL0858']	['CT_594']
['TC_RS03880']	['CPn0597']	['CTL0739']	['CT_478']
['TC_RS02690']	['CPn0397']	['CTL0511']	['CT_259']
['TC_RS04090']	['CPn0637']	['CTL0780']	['CT_518']
['TC_RS02620']	['CPn0304']	['CTL0497']	['CT_245']
['TC_RS04775']	['CPn0986']	['CTL0201']	['CT_829']
['TC_RS03170']	['CPn0024']	['CTL0601']	['CT_347']
['TC_RS01615']	['CPn0380']	['CTL0308']	['CT_052']
['TC_RS02580']	['CPn0296']	['CTL0489']	['CT_237']
['TC_RS00315']	['CPn0689']	['CTL0056']	['CT_687']
['TC_RS00800']	['CPn0917']	['CTL0140']	['CT_771']
['TC_RS01085']	['CPn0985']	['CTL0200']	['CT_828']
['TC_RS01700']	['CPn0350']	['CTL0322']	['CT_066']
['TC_RS01395']	['CPn1068']	['CTL0263']	['CT_008']
['TC_RS01440']	['CPn0104']	['CTL0272']	['CT_017']
['TC_RS04060']	['CPn0631']	['CTL0774']	['CT_512']
['TC_RS00235']	['CPnt26']	['CTL_t31']	['CT_t27']
['TC_RS00875']	['CPn0937']	['CTL0155']	['CT_787']
['TC_RS03760']	['CPn0575']	['CTL0718']	['CT_458']
['TC_RS01935']	['CPn0144']	['CTL0368']	['CT_113']
['TC_RS01400']	['CPn1069']	['CTL0264']	['CT_009']
['TC_RS00330']	['CPn0682']	['CTL0059']	['CT_690']
['TC_RS01290']	['CPn1024']	['CTL0243']	['CT_864']
['TC_RS03730']	['CPn0568']	['CTL0712']	['CT_452']
['TC_RS00870']	['CPn0936']	['CTL0154']	['CT_786']
['TC_RS02750']	['CPn0419']	['CTL0522']	['CT_270']
['TC_RS03350']	['CPn0484']	['CTL0637']	['CT_382']
['TC_RS02625']	['CPn0305']	['CTL0498']	['CT_246']
['TC_RS00700']	['CPn0895']	['CTL0121']	['CT_752']
['TC_RS02995']	['CPn0078']	['CTL0570']	['CT_318']
['TC_RS01855']	['CPn0316']	['CTL0352']	['CT_097']
['TC_RS03985']	['CPn0617']	['CTL0760']	['CT_498']
['TC_RS00420']	['CPn0848']	['CTL0076']	['CT_707']
['TC_RS00985']	['CPn0959']	['CTL0177']	['CT_808']
['TC_RS03145']	['CPn0031']	['CTL0596']	['CT_342']
['TC_RS02380']	['CPn0206']	['CTL0455']	['CT_203']
['TC_RS03930']	['CPn0606']	['CTL0749']	['CT_488']
['TC_RS01980']	['CPn0184']	['CTL0377']	['CT_122']
['TC_RS04305']	['CPn0828']	['CTL0822']	['CT_559']
['TC_RS01140']	['CPn0995']	['CTL0210']	['CT_838']
['TC_RS04555']	['CPn0773']	['CTL0871']	['CT_607']
['TC_RS04080']	['CPn0635']	['CTL0778']	['CT_516']
['TC_RS01065']	['CPn0981']	['CTL0196']	['CT_824']
['TC_RS03580']	['CPn0511']	['CTL0683']	['CT_424']
['TC_RS03980']	['CPn0616']	['CTL0759']	['CT_497']
['TC_RS02970']	['CPn0083']	['CTL0565']	['CT_313']
['TC_RS03890']	['CPn0599']	['CTL0741']	['CT_480']
['TC_RS03585']	['CPn0512']	['CTL0684']	['CT_425']
['TC_RS03255']	['CPn1048']	['CTL0617']	['CT_363']
['TC_RS03280']	['CPn1037']	['CTL0622']	['CT_368']
['TC_RS02775']	['CPn0424']	['CTL0527']	['CT_275']
['TC_RS01490']	['CPn0117']	['CTL0282']	['CT_027']
['TC_RS01715']	['CPn0348']	['CTL0324']	['CT_068']
['TC_RS01405']	['CPn0098']	['CTL0265']	['CT_010']
['TC_RS02400']	['CPn0160']	['CTL0459']	['CT_207']
['TC_RS01470']	['CPn0113']	['CTL0278']	['CT_023']
['TC_RS04370']	['CPn0815']	['CTL0835']	['CT_572']
['TC_RS02295']	['CPn0239']	['CTL0438']	['CT_186']
['TC_RS00460']	['CPn0855']	['CTL0083']	['CT_714']
['TC_RS01410']	['CPn0100']	['CTL0266']	['CT_011']
['TC_RS04685']	['CPnt29']	['CTL_t25']	['CT_t24']
['TC_RS04050']	['CPn0629']	['CTL0772']	['CT_510']
['TC_RS04290']	['CPn0834']	['CTL0819']	['CT_556']
['TC_RS04120']	['CPn0643']	['CTL0786']	['CT_524']
['TC_RS00500']	['CPn0863']	['CTL0091']	['CT_722']
['TC_RS01975']	['CPn0185']	['CTL0376']	['CT_121']
['TC_RS00520']	['CPn0867']	['CTL0095']	['CT_726']
['TC_RS03995']	['CPn0619']	['CTL0762']	['CT_500']
['TC_RS04570']	['CPn0761']	['CTL0874']	['CT_610']
['TC_RS00665']	['CPn0892']	['CTL0118']	['CT_749']
['TC_RS02675']	['CPn0394']	['CTL0508']	['CT_256']
['TC_RS00065']	['CPn0769']	['CTL0011']	['CT_643']
['TC_RS01390']	['CPn0441']	['CTL0262']	['CT_007']
['TC_RS02645']	['CPn0309']	['CTL0501']	['CT_250']
['TC_RS00150']	['CPn0719']	['CTL0027']	['CT_658']
['TC_RS01485']	['CPn0116']	['CTL0281']	['CT_026']
['TC_RS01465']	['CPn0112']	['CTL0277']	['CT_022']
['TC_RS03210']	['CPn1058']	['CTL0609']	['CT_355']
['TC_RS03695']	['CPn0560']	['CTL0705']	['CT_445']
['TC_RS03965']	['CPn0614']	['CTL0756']	['CT_495']
['TC_RS03165']	['CPn0025']	['CTL0600']	['CT_346']
['TC_RS03745']	['CPn0571']	['CTL0715']	['CT_455']
['TC_RS04505']	['CPn0782']	['CTL0862']	['CT_599']
['TC_RS02110']	['CPn0149']	['CTL0401']	['CT_146']
['TC_RS04135']	['CPn0646']	['CTL0789']	['CT_527']
['TC_RS00620']	['CPn0883']	['CTL0109']	['CT_740']
['TC_RS03550']	['CPn0545']	['CTL0676']	['CT_419']
['TC_RS02080']	['CPnt10']	['CTL_t32']	['CT_t03']
['TC_RS00070']	['CPn0768']	['CTL0012']	['CT_644']
['TC_RS01675']	['CPn0361']	['CTL0318']	['CT_062']
['TC_RS00265']	['CPn0698']	['CTL0047']	['CT_678']
['TC_RS02490']	['CPn0263']	['CTL0473']	['CT_221']
['TC_RS04560']	['CPn0772']	['CTL0872']	['CT_608']
['TC_RS00475']	['CPn0858']	['CTL0086']	['CT_717']
['TC_RS02085']	['CPnt09']	['CTL_t35']	['CT_t04']
['TC_RS00210']	['CPn0706']	['CTL0039']	['CT_670']
['TC_RS00805']	['CPn0918']	['CTL0141']	['CT_772']
['TC_RS02545']	['CPn0289']	['CTL0482']	['CT_230']
['TC_RS03815']	['CPn0586']	['CTL0728']	['CT_468']
['TC_RS00945']	['CPn0951']	['CTL0170']	['CT_801']
['TC_RS04075']	['CPn0634']	['CTL0777']	['CT_515']
['TC_RS01660']	['CPnt13']	['CTL_t26']	['CT_t02']
['TC_RS01185']	['CPn1004']	['CTL0219']	['CT_847']
['TC_RS00260']	['CPn0699']	['CTL0046']	['CT_677']
['TC_RS03460']	['CPn0529']	['CTL0659']	['CT_402']
['TC_RS00010']	['CPn0743']	['CTL0002']	['CT_634']
['TC_RS01680']	['CPn0360']	['CTL0319']	['CT_063']
['TC_RS03215']	['CPn1057']	['CTL0610']	['CT_356']
['TC_RS00755']	['CPn0905']	['CTL0131']	['CT_762']
['TC_RS02575']	['CPn0295']	['CTL0488']	['CT_236']
['TC_RS04405']	['CPn0808']	['CTL0842']	['CT_579']
['TC_RS03405']	['CPn0496']	['CTL0647']	['CT_391']
['TC_RS02500']	['CPnt11']	['CTL_t37']	['CT_t10']
['TC_RS03435']	['CPn0504']	['CTL0654']	['CT_397']
['TC_RS00400']	['CPn0844']	['CTL0072']	['CT_703']
['TC_RS04125']	['CPn0644']	['CTL0787']	['CT_525']
['TC_RS02270']	['CPn0234']	['CTL0433']	['CT_181']
['TC_RS02335']	['CPn0286']	['CTL0446']	['CT_194']
['TC_RS04450']	['CPn0793']	['CTL0851']	['CT_588']
['TC_RS01685']	['CPn0359']	['CTL0320']	['CT_064']
['TC_RS01720']	['CPn0347']	['CTL0325']	['CT_069']
['TC_RS03740']	['CPn0570']	['CTL0714']	['CT_454']
['TC_RS00585']	['CPn0880']	['CTL0108']	['CT_739']
['TC_RS03560']	['CPnt16']	['CTL_t24']	['CT_t16']
['TC_RS01245']	['CPn1015']	['CTL0232']	['CT_857']
['TC_RS02000']	['CPn0246']	['CTL0381']	['CT_126']
['TC_RS02770']	['CPn0423']	['CTL0526']	['CT_274']
['TC_RS00775']	['CPn0910']	['CTL0135']	['CT_766']
['TC_RS03540']	['CPn0543']	['CTL0674']	['CT_417']
['TC_RS04025']	['CPn0624']	['CTL0767']	['CT_505']
['TC_RS01280']	['CPnt37']	['CTL_t15']	['CT_t37']
['TC_RS00025']	['CPnt28']	['CTL_t01']	['CT_t25']
['TC_RS03525']	['CPnt15']	['CTL_t29']	['CT_t15']
['TC_RS03470']	['CPn0531']	['CTL0661']	['CT_404']
['TC_RS04765']	['CPn0961']	['CTL0181']	['CT_810']
['TC_RS03785']	['CPn0580']	['CTL0723']	['CT_463']
['TC_RS00920']	['CPn0947']	['CTL0166']	['CT_797']
['TC_RS03945']	['CPn0610']	['CTL0752']	['CT_491']
['TC_RS04105']	['CPn0640']	['CTL0783']	['CT_521']
['TC_RS00555']	['CPn0874']	['CTL0102']	['CT_733']
['TC_RS02940']	['CPn0089']	['CTL0559']	['CT_307']
['TC_RS01710']	['CPn0349']	['CTL0323']	['CT_067']
['TC_RS01020']	['CPn0967']	['CTL0187']	['CT_815']
