Query	Best Match(es)
CT_631	{'TC_RS04680': 87.45}
TC_RS01415	{'CT_012': 84.03}
CT_103	{'TC_RS01885': 82.41}
TC_RS03575	{'CT_423': 77.01}
CT_089	{'TC_RS01815': 75.28}
CT_285	{'TC_RS02825': 79.69}
TC_RS03940	{'CT_490': 78.26}
CT_402	{'TC_RS03460': 81.8}
TC_RS02755	{'CT_271': 88.19}
TC_RS03330	{'CT_378': 80.24}
CT_415	{'TC_RS03530': 80.26}
TC_RS03285	{'CT_369': 75.29}
CT_573	{'TC_RS04375': 77.19}
TC_RS02815	{'CT_283': 78.86}
CT_553	{'TC_RS04275': 79.67}
CT_045	{'TC_RS01580': 83.6}
CT_432	{'TC_RS03620': 84.81}
TC_RS03090	{'CT_332': 83.36}
TC_RS03485	{'CT_407': 89.6}
TC_RS04305	{'CT_559': 81.92}
CT_t37	{'TC_RS01280': 98.78}
CT_003	{'TC_RS01370': 84.76}
CT_215	{'TC_RS02455': 85.71}
TC_RS04495	{'CT_597': 82.31}
TC_RS03620	{'CT_432': 84.81}
CT_001	{'TC_RS01360': 83.88}
CT_184	{'TC_RS02285': 79.54}
CT_582	{'TC_RS04420': 86.85}
TC_RS03305	{'CT_373': 85.71}
TC_RS04170	{'CT_534': 76.54}
CT_611	{'TC_RS04575': 80.96}
TC_RS03805	{'CT_466': 86.06}
TC_RS00810	{'CT_773': 78.77}
TC_RS03985	{'CT_498': 81.66}
TC_RS01390	{'CT_007': 81.18}
TC_RS00885	{'CT_790': 85.02}
TC_RS01405	{'CT_010': 79.97}
CT_843	{'TC_RS01165': 96.28}
TC_RS04275	{'CT_553': 79.67}
TC_RS01715	{'CT_068': 85.26}
CT_289	{'TC_RS02845': 74.69}
TC_RS02480	{'CT_219': 77.45}
CT_745	{'TC_RS00645': 78.58}
TC_RS00955	{'CT_803': 89.86}
CT_428	{'TC_RS03600': 74.71}
CT_850	{'TC_RS01205': 73.97}
CT_685	{'TC_RS00305': 80.36}
CT_052	{'TC_RS01615': 80.34}
TC_RS00335	{'CT_691': 84.44}
CT_481	{'TC_RS03895': 78.21}
TC_RS04220	{'CT_543': 81.35}
CT_055	{'TC_RS01635': 83.23}
TC_RS03650	{'CT_438': 92.41}
CT_166	{'TC_RS02185': 71.79}
TC_RS04510	{'CT_600': 87.48}
TC_RS00910	{'CT_795': 71.37}
CT_565	{'TC_RS04335': 82.75}
CT_177	{'TC_RS02240': 81.52}
TC_RS03450	{'CT_400': 81.28}
CT_787	{'TC_RS00875': 92.16}
CT_t04	{'TC_RS02085': 100.0}
CT_290	{'TC_RS02850': 81.71}
CT_436	{'TC_RS03640': 93.4}
CT_335	{'TC_RS03105': 88.66}
CT_860	{'TC_RS01260': 74.87}
TC_RS01960	{'CT_118': 69.3}
CT_017	{'TC_RS01440': 83.13}
TC_RS00255	{'CT_t29': 100.0}
CT_199	{'TC_RS02360': 82.27}
TC_RS04775	{'CT_829': 80.14}
CT_419	{'TC_RS03550': 95.24}
TC_RS04575	{'CT_611': 80.96}
CT_223	{'TC_RS02510': 70.42}
CT_507	{'TC_RS04035': 89.24}
CT_426	{'TC_RS03590': 79.87}
CT_192	{'TC_RS02325': 64.58}
CT_t33	{'TC_RS00720': 100.0}
CT_534	{'TC_RS04170': 76.54}
TC_RS03115	{'CT_337': 80.0}
TC_RS04630	{'CT_621': 74.14}
TC_RS01680	{'CT_063': 82.23}
TC_RS01745	{'CT_074': 79.52}
CT_238	{'TC_RS02585': 80.8}
TC_RS01375	{'CT_004': 85.49}
TC_RS00485	{'CT_719': 79.72}
TC_RS00475	{'CT_717': 81.07}
CT_391	{'TC_RS03405': 79.72}
CT_460	{'TC_RS03770': 87.74}
CT_828	{'TC_RS01085': 86.25}
CT_207	{'TC_RS02400': 80.89}
TC_RS03180	{'CT_349': 83.73}
CT_006	{'TC_RS01385': 77.15}
CT_262	{'TC_RS02705': 78.86}
TC_RS01125	{'CT_836': 86.2}
TC_RS02640	{'CT_249': 69.93}
CT_313	{'TC_RS02970': 86.48}
CT_570	{'TC_RS04360': 77.27}
CT_641	{'TC_RS00050': 80.13}
CT_634	{'TC_RS00010': 81.94}
CT_344	{'TC_RS03155': 84.84}
CT_712	{'TC_RS00450': 80.17}
CT_519	{'TC_RS04095': 94.05}
TC_RS01250	{'CT_858': 78.96}
TC_RS02975	{'CT_314': 86.9}
TC_RS04440	{'CT_586': 81.39}
CT_731	{'TC_RS00545': 80.16}
CT_143	{'TC_RS02095': 74.08}
CT_092	{'TC_RS01830': 82.28}
CT_440	{'TC_RS03660': 79.94}
CT_503	{'TC_RS04010': 85.56}
CT_068	{'TC_RS01715': 85.26}
