muridarum	pneumoniae	trachomatis_434	trachomatis_duw
['TC_RS02100']	['CPn0252', 'CPn0065']	['CTL0399']	['CT_144']
['TC_RS02755']	['CPn0420']	['CTL0523', 'CTL0895']	['CT_271', 'CT_631']
['TC_RS00910']	['CPn0028', 'CPn0945']	['CTL0164']	['CT_795']
['TC_RS00310']	['CPn0690', 'CPn0457']	['CTL0055', 'CTL0226']	['CT_686', 'CT_853']
['TC_RS01340']	['CPn0454', 'CPn0444']	['CTL0251']	['CT_872']
['TC_RS01260']	['CPn1019']	['CTL0235', 'CTL0640']	['CT_860', 'CT_384']
['TC_RS00600', 'TC_RS00675']	['CPnr01']	['CTL_r02', 'CTL_r01']	['CT_r01', 'CT_r04']
['TC_RS00510']	['CPn0459']	['CTL0093', 'CTL0431']	['CT_724', 'CT_179']
['TC_RS03750']	['CPn1071', 'CPn0572']	['CTL0716']	['CT_456']
['TC_RS00765']	['CPn0126', 'CPn0375']	['CTL0133']	['CT_764']
['TC_RS03990']	['CPn0618', 'CPn0487']	['CTL0761']	['CT_499']
['TC_RS03125']	['CPn0036']	['CTL0592a', 'CTL0592']	['CT_338']
['TC_RS01350']	['CPn0279', 'CPn0980']	['CTL0254']	['CT_874']
['TC_RS01590']	['CPn1072', 'CPn0131']	['CTL0303']	['CT_047']
['TC_RS03780']	['CPn1040', 'CPn0579']	['CTL0722']	['CT_462']
['TC_RS02850']	['CPn0061', 'CPn0505']	['CTL0542']	['CT_290']
['TC_RS03075']	['CPn1060a']	['CTL0583A']	[]
['TC_RS01030']	['CPn0970', 'CPn0969']	['CTL0189']	['CT_817']
['TC_RS00640']	['CPn0519', 'CPn0887']	['CTL0113', 'CTL0689']	['CT_744', 'CT_430']
['TC_RS00685', 'TC_RS00610']	['CPnr03']	['CTL_r05', 'CTL_r06']	['CT_r03', 'CT_r06']
['TC_RS03900']	['CPn0043', 'CPn0687']	['CTL0743']	['CT_482']
['TC_RS01610']	['CPn0925', 'CPn0285']	['CTL0307', 'CTL0148']	['CT_051', 'CT_779']
['TC_RS02115']	['CPn0648']	['CTL0402', 'CTL0791']	['CT_147', 'CT_529']
['TC_RS02840']	['CPn0288']	['CTL0540', 'CTL0447']	['CT_288', 'CT_195']
['TC_RS04625']	['CPn0726']	['CTL0884', 'CTL0885']	['CT_620', 'CT_621']
['TC_RS02020']	['CPn0191', 'CPn0280']	['CTL0385']	['CT_130']
['TC_RS04780']	['CPns01']	[]	['CT_s01']
['TC_RS04670']	['CPn0749']	['CTL0893']	[]
